enhet_kode,maned,dimensjon,maling,antall_avvik,antall_rader,andel_avvik_pst
TSB,2022-09-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,446,1011,44.11
ORT,2023-03-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,184,1089,16.9
TSB,2023-07-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,443,1028,43.09
TSB,2024-02-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,456,1029,44.31
BUP,2022-07-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,428,1012,42.29
MED,2024-10-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,289,1049,27.55
ONK,2024-10-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,83,1080,7.69
DPS,2025-02-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,325,965,33.68
BUP,2025-12-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,787,1952,40.32
TSB,2023-02-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,438,953,45.96
REH,2024-02-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,333,980,33.98
KIR,2023-01-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,215,1033,20.81
REH,2025-02-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,330,867,38.06
BUP,2022-02-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,373,932,40.02
ONK,2025-09-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,77,1020,7.55
ORT,2022-08-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,189,1040,18.17
DPS,2023-07-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,352,1042,33.78
BUP,2024-03-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,460,1080,42.59
BUP,2024-01-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,417,1054,39.56
KIR,2022-06-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,203,967,20.99
ORT,2025-07-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,196,997,19.66
MED,2025-09-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,298,1036,28.76
DPS,2022-09-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,385,1062,36.25
TSB,2025-02-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,433,957,45.25
BUP,2025-06-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,435,1042,41.75
KIR,2022-03-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,242,1065,22.72
DPS,2023-02-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,326,929,35.09
DPS,2024-02-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,326,973,33.5
ORT,2023-10-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,223,1127,19.79
KIR,2024-06-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,256,1062,24.11
DPS,2024-11-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,363,1058,34.31
ONK,2025-03-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,83,1057,7.85
MED,2025-03-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,256,1060,24.15
ONK,2025-08-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,67,1066,6.29
KIR,2025-02-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,205,937,21.88
DPS,2022-12-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,620,1876,33.05
DPS,2023-06-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,359,1052,34.13
MED,2023-08-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,308,1072,28.73
DPS,2024-09-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,333,1047,31.81
TSB,2022-03-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,455,978,46.52
MED,2024-12-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,507,1965,25.8
TSB,2022-06-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,449,1003,44.77
DPS,2023-05-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,361,1074,33.61
DPS,2025-04-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,374,1089,34.34
ORT,2022-07-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,174,1099,15.83
ONK,2023-08-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,72,1120,6.43
TSB,2024-06-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,478,1017,47.0
MED,2025-08-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,282,1079,26.14
ORT,2022-11-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,190,1031,18.43
ONK,2025-05-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,81,1111,7.29
MED,2023-11-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,264,1012,26.09
REH,2024-06-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,368,1017,36.18
REH,2022-06-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,365,971,37.59
REH,2022-03-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,377,1055,35.73
ONK,2024-12-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,138,1938,7.12
BUP,2023-03-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,435,1058,41.12
MED,2025-05-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,263,1023,25.71
DPS,2023-01-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,365,1093,33.39
ORT,2025-12-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,339,1856,18.27
ONK,2023-11-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,73,1043,7.0
REH,2023-12-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,651,1885,34.54
REH,2024-04-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,358,1020,35.1
BUP,2023-11-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,421,1038,40.56
BUP,2025-03-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,446,1067,41.8
BUP,2024-12-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,760,1839,41.33
KIR,2022-04-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,202,981,20.59
KIR,2023-09-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,221,995,22.21
MED,2023-03-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,267,1045,25.55
TSB,2023-12-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,891,1882,47.34
BUP,2023-08-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,448,1088,41.18
BUP,2025-05-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,446,1094,40.77
ORT,2024-10-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,186,1089,17.08
TSB,2024-04-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,454,1037,43.78
DPS,2025-10-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,354,1051,33.68
ONK,2023-03-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,82,1149,7.14
BUP,2025-08-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,464,1101,42.14
MED,2023-04-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,266,978,27.2
KIR,2022-08-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,216,1038,20.81
ONK,2023-04-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,73,1028,7.1
BUP,2023-07-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,440,1087,40.48
BUP,2022-09-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,443,1073,41.29
ONK,2024-07-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,79,1069,7.39
KIR,2023-10-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,241,1058,22.78
ONK,2025-01-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,76,1133,6.71
REH,2022-11-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,378,1015,37.24
MED,2025-01-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,288,1129,25.51
MED,2024-08-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,281,1048,26.81
TSB,2025-12-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,886,1860,47.63
ORT,2022-03-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,187,1035,18.07
ONK,2024-08-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,86,1007,8.54
BUP,2024-11-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,414,1012,40.91
ONK,2022-01-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,86,1064,8.08
MED,2025-11-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,299,1027,29.11
TSB,2022-07-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,483,1057,45.7
MED,2024-05-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,291,1042,27.93
MED,2022-01-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,275,1132,24.29
DPS,2024-01-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,342,1071,31.93
DPS,2024-03-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,353,1019,34.64
DPS,2022-02-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,361,963,37.49
MED,2022-10-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,280,1047,26.74
BUP,2024-02-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,398,978,40.7
ORT,2022-06-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,180,1004,17.93
ONK,2025-11-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,65,990,6.57
ORT,2024-06-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,182,1039,17.52
KIR,2025-07-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,237,1065,22.25
REH,2022-07-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,357,1072,33.3
DPS,2025-06-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,348,1026,33.92
TSB,2022-11-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,482,1045,46.12
ONK,2022-10-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,72,1050,6.86
REH,2025-12-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,704,1877,37.51
BUP,2023-02-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,385,979,39.33
MED,2024-07-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,315,1110,28.38
ONK,2024-05-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,77,1115,6.91
TSB,2023-06-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,469,1038,45.18
TSB,2022-12-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,846,1800,47.0
REH,2024-09-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,351,1003,35.0
KIR,2024-11-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,226,1013,22.31
DPS,2024-06-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,337,1053,32.0
KIR,2023-02-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,222,989,22.45
BUP,2023-10-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,393,1045,37.61
MED,2022-05-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,261,1041,25.07
DPS,2022-03-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,358,1083,33.06
REH,2023-01-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,375,1087,34.5
KIR,2024-02-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,242,1001,24.18
BUP,2025-07-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,433,1028,42.12
TSB,2024-09-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,476,1005,47.36
REH,2022-12-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,630,1802,34.96
TSB,2023-05-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,475,1057,44.94
ORT,2022-02-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,186,950,19.58
KIR,2023-07-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,249,1051,23.69
KIR,2022-09-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,236,1052,22.43
REH,2023-06-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,400,1043,38.35
ONK,2022-05-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,70,1071,6.54
REH,2023-05-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,358,1043,34.32
TSB,2023-01-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,486,1075,45.21
REH,2025-04-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,365,1059,34.47
ORT,2024-01-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,197,1089,18.09
TSB,2025-04-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,478,1052,45.44
ORT,2024-03-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,165,1024,16.11
BUP,2022-08-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,430,1084,39.67
ORT,2025-06-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,169,1016,16.63
DPS,2022-06-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,354,1027,34.47
MED,2023-05-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,280,1079,25.95
DPS,2023-11-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,332,1005,33.03
ONK,2022-12-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,127,1840,6.9
DPS,2025-05-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,350,1059,33.05
MED,2023-01-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,302,1084,27.86
ONK,2024-09-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,76,1072,7.09
MED,2025-04-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,261,1007,25.92
DPS,2023-08-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,365,1077,33.89
MED,2024-09-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,266,1017,26.16
TSB,2022-05-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,475,1072,44.31
ONK,2023-01-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,59,1099,5.37
KIR,2024-10-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,225,1060,21.23
ONK,2023-06-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,83,1088,7.63
DPS,2025-03-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,336,1026,32.75
MED,2023-06-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,253,967,26.16
MED,2022-12-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,496,1853,26.77
DPS,2024-12-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,565,1789,31.58
ORT,2023-09-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,165,1010,16.34
ONK,2023-05-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,77,1087,7.08
REH,2022-05-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,366,1040,35.19
DPS,2025-08-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,344,1050,32.76
ORT,2022-04-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,190,1070,17.76
ONK,2025-04-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,62,1034,6.0
BUP,2025-10-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,443,1039,42.64
ORT,2024-09-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,196,1028,19.07
ORT,2023-05-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,185,1041,17.77
DPS,2022-11-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,341,1026,33.24
REH,2025-06-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,333,1023,32.55
DPS,2022-07-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,361,1107,32.61
ORT,2025-04-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,173,1051,16.46
TSB,2024-01-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,471,1081,43.57
REH,2024-01-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,364,1040,35.0
REH,2022-02-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,323,932,34.66
MED,2022-04-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,266,1000,26.6
TSB,2022-02-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,401,933,42.98
TSB,2025-06-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,461,1003,45.96
DPS,2025-12-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,663,1963,33.77
ONK,2023-09-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,70,1018,6.88
ORT,2023-01-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,181,1039,17.42
KIR,2023-03-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,240,1098,21.86
TSB,2024-03-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,472,1057,44.65
REH,2024-03-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,350,1037,33.75
ORT,2023-06-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,168,978,17.18
ORT,2022-12-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,341,1877,18.17
ONK,2022-04-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,69,981,7.03
MED,2023-09-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,268,1036,25.87
BUP,2025-02-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,399,962,41.48
KIR,2025-05-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,255,1065,23.94
BUP,2023-09-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,450,1019,44.16
KIR,2025-08-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,247,1056,23.39
KIR,2024-12-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,423,1886,22.43
MED,2025-02-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,227,922,24.62
TSB,2025-09-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,485,1048,46.28
KIR,2023-11-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,224,1002,22.36
DPS,2024-10-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,338,1048,32.25
ONK,2025-02-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,64,913,7.01
KIR,2025-03-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,200,1012,19.76
ORT,2025-10-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,174,1039,16.75
REH,2025-09-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,364,1048,34.73
KIR,2023-08-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,217,1054,20.59
BUP,2022-04-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,460,1051,43.77
ORT,2022-05-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,191,1035,18.45
DPS,2024-08-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,347,1064,32.61
DPS,2023-04-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,347,1009,34.39
DPS,2024-07-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,369,1094,33.73
DPS,2025-11-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,348,1092,31.87
MED,2024-01-01 00:00:00,Validitet,Prioritet satt til forvalgt verdi,278,1041,26.71
